Characteristic	Subcharacteristics	Definition	External Practice Source	External Practice Name	External Practice Group	Score Annotator A	Score Annotator B
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Use Sanity Checks for All External Data Sources	Data	3	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	0	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Actively Remove or Archive Features That are Not Used	Training	1	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Serban	Perform Checks to Detect Skew between Models	Deployment	3	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	0	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Serban	Share Status and Outcomes of Experiments Within the Team	Training	0	2
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Serban	Share a Clearly Defined Training Objective within the Team	Training	0	2
Economy	Cost-effectiveness	The extent to which an ML System achieves the desired relationship between costs and overall impact.	Serban	Share Status and Outcomes of Experiments Within the Team	Training	0	2
Economy	Efficiency	The ability to avoid wasting resources (computational, human, financial, etc.) in order to perform the desired task effectively.	Serban	Capture the Training Objective in a Metric that is Easy to Measure and Understand	Training	0	2
Robustness	Availability	The probability that the system will be up and running and able to deliver useful services to users.	Serban	Use Sanity Checks for All External Data Sources	Data	3	1
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Check that Input Data is Complete, Balanced and Well Distributed	Data	3	1
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Test for Social Bias in Training Data	Data	2	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	2	0
Robustness	Resilience	The extent to which an ML system can provide and maintain an acceptable level of service in the face of technical challenges to normal operation.	Serban	Peer Review Training Scripts	Training	2	0
Robustness	Adaptability	The extent to which an ML system can adapt to changes in the production environment, always providing the same functioning level.	Serban	Perform Checks to Detect Skew between Models	Deployment	0	2
