Characteristic	Subcharacteristics	Definition	External Practice Source	External Practice Name	External Practice Group	Score Annotator A	Score Annotator B
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Feature expectations are captured in a schema	TESTS FOR FEATURES AND DATA	0	0
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	All features are beneficial.	TESTS FOR FEATURES AND DATA	3	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	No feature’s cost is too much.	TESTS FOR FEATURES AND DATA	1	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Features adhere to meta-level requirements.	TESTS FOR FEATURES AND DATA	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	The data pipeline has appropriate privacy controls.	TESTS FOR FEATURES AND DATA	0	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	New features can be added quickly.	TESTS FOR FEATURES AND DATA	0	0
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	All input feature code is tested.	TESTS FOR FEATURES AND DATA	3	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Model specs are reviewed and submitted.	TESTS FOR MODEL DEVELOPMENT	0	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Offline and online metrics correlate.	TESTS FOR MODEL DEVELOPMENT	3	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	All hyperparameters have been tuned.	TESTS FOR MODEL DEVELOPMENT	4	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	The impact of model staleness is known.	TESTS FOR MODEL DEVELOPMENT	2	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	A simpler model is not better.	TESTS FOR MODEL DEVELOPMENT	2	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Model quality is sufficient on important data slices.	TESTS FOR MODEL DEVELOPMENT	2	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	The model is tested for considerations of inclusion.	TESTS FOR MODEL DEVELOPMENT	0	0
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Training is reproducible.	TESTS FOR ML INFRASTRUCTURE	0	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Model specs are unit tested.	TESTS FOR ML INFRASTRUCTURE	3	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	The ML pipeline is Integration tested	TESTS FOR ML INFRASTRUCTURE	3	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Model quality is validated before serving	TESTS FOR ML INFRASTRUCTURE	2	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	The model is debuggable	TESTS FOR ML INFRASTRUCTURE	2	1
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Models are canaried before serving	TESTS FOR ML INFRASTRUCTURE	0	0
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Serving models can be rolled back.	TESTS FOR ML INFRASTRUCTURE	0	0
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Dependency changes result in notification	MONITORING TESTS FOR ML	1	0
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Data invariants hold for inputs	MONITORING TESTS FOR ML	3	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Training and serving are not skewed	MONITORING TESTS FOR ML	4	4
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Models are not too stale	MONITORING TESTS FOR ML	4	4
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Models are numerically stable	MONITORING TESTS FOR ML	2	3
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Computing performance has not regressed	MONITORING TESTS FOR ML	1	2
Utility	Accuracy	The extent to which the ML system correctly predicts or models its target	Breck	Prediction quality has not regressed.	MONITORING TESTS FOR ML	4	4
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Feature expectations are captured in a schema	TESTS FOR FEATURES AND DATA	0	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	All features are beneficial.	TESTS FOR FEATURES AND DATA	2	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	No feature’s cost is too much.	TESTS FOR FEATURES AND DATA	1	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Features adhere to meta-level requirements.	TESTS FOR FEATURES AND DATA	1	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	The data pipeline has appropriate privacy controls.	TESTS FOR FEATURES AND DATA	1	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	New features can be added quickly.	TESTS FOR FEATURES AND DATA	1	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	All input feature code is tested.	TESTS FOR FEATURES AND DATA	3	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Model specs are reviewed and submitted.	TESTS FOR MODEL DEVELOPMENT	1	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Offline and online metrics correlate.	TESTS FOR MODEL DEVELOPMENT	3	4
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	All hyperparameters have been tuned.	TESTS FOR MODEL DEVELOPMENT	3	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	The impact of model staleness is known.	TESTS FOR MODEL DEVELOPMENT	4	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	A simpler model is not better.	TESTS FOR MODEL DEVELOPMENT	2	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Model quality is sufficient on important data slices.	TESTS FOR MODEL DEVELOPMENT	2	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	The model is tested for considerations of inclusion.	TESTS FOR MODEL DEVELOPMENT	2	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Training is reproducible.	TESTS FOR ML INFRASTRUCTURE	1	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Model specs are unit tested.	TESTS FOR ML INFRASTRUCTURE	2	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	The ML pipeline is Integration tested	TESTS FOR ML INFRASTRUCTURE	2	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Model quality is validated before serving	TESTS FOR ML INFRASTRUCTURE	3	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	The model is debuggable	TESTS FOR ML INFRASTRUCTURE	3	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Models are canaried before serving	TESTS FOR ML INFRASTRUCTURE	2	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Serving models can be rolled back.	TESTS FOR ML INFRASTRUCTURE	2	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Dependency changes result in notification	MONITORING TESTS FOR ML	2	1
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Data invariants hold for inputs	MONITORING TESTS FOR ML	1	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Training and serving are not skewed	MONITORING TESTS FOR ML	3	3
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Models are not too stale	MONITORING TESTS FOR ML	4	2
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Models are numerically stable	MONITORING TESTS FOR ML	2	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Computing performance has not regressed	MONITORING TESTS FOR ML	2	0
Utility	Effectiveness	The ability of an ML system to produce a desired result on the business task it is being used for.	Breck	Prediction quality has not regressed.	MONITORING TESTS FOR ML	3	2
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Feature expectations are captured in a schema	TESTS FOR FEATURES AND DATA	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	All features are beneficial.	TESTS FOR FEATURES AND DATA	3	2
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	No feature’s cost is too much.	TESTS FOR FEATURES AND DATA	3	3
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Features adhere to meta-level requirements.	TESTS FOR FEATURES AND DATA	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	The data pipeline has appropriate privacy controls.	TESTS FOR FEATURES AND DATA	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	New features can be added quickly.	TESTS FOR FEATURES AND DATA	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	All input feature code is tested.	TESTS FOR FEATURES AND DATA	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Model specs are reviewed and submitted.	TESTS FOR MODEL DEVELOPMENT	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Offline and online metrics correlate.	TESTS FOR MODEL DEVELOPMENT	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	All hyperparameters have been tuned.	TESTS FOR MODEL DEVELOPMENT	1	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	The impact of model staleness is known.	TESTS FOR MODEL DEVELOPMENT	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	A simpler model is not better.	TESTS FOR MODEL DEVELOPMENT	3	2
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Model quality is sufficient on important data slices.	TESTS FOR MODEL DEVELOPMENT	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	The model is tested for considerations of inclusion.	TESTS FOR MODEL DEVELOPMENT	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Training is reproducible.	TESTS FOR ML INFRASTRUCTURE	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Model specs are unit tested.	TESTS FOR ML INFRASTRUCTURE	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	The ML pipeline is Integration tested	TESTS FOR ML INFRASTRUCTURE	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Model quality is validated before serving	TESTS FOR ML INFRASTRUCTURE	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	The model is debuggable	TESTS FOR ML INFRASTRUCTURE	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Models are canaried before serving	TESTS FOR ML INFRASTRUCTURE	3	2
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Serving models can be rolled back.	TESTS FOR ML INFRASTRUCTURE	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Dependency changes result in notification	MONITORING TESTS FOR ML	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Data invariants hold for inputs	MONITORING TESTS FOR ML	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Training and serving are not skewed	MONITORING TESTS FOR ML	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Models are not too stale	MONITORING TESTS FOR ML	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Models are numerically stable	MONITORING TESTS FOR ML	0	0
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Computing performance has not regressed	MONITORING TESTS FOR ML	2	2
Utility	Responsiveness	The ability of an ML system to complete the desired task in an acceptable time frame.	Breck	Prediction quality has not regressed.	MONITORING TESTS FOR ML	0	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Feature expectations are captured in a schema	TESTS FOR FEATURES AND DATA	2	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	All features are beneficial.	TESTS FOR FEATURES AND DATA	2	2
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	No feature’s cost is too much.	TESTS FOR FEATURES AND DATA	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Features adhere to meta-level requirements.	TESTS FOR FEATURES AND DATA	2	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	The data pipeline has appropriate privacy controls.	TESTS FOR FEATURES AND DATA	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	New features can be added quickly.	TESTS FOR FEATURES AND DATA	0	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	All input feature code is tested.	TESTS FOR FEATURES AND DATA	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Model specs are reviewed and submitted.	TESTS FOR MODEL DEVELOPMENT	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Offline and online metrics correlate.	TESTS FOR MODEL DEVELOPMENT	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	All hyperparameters have been tuned.	TESTS FOR MODEL DEVELOPMENT	0	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	The impact of model staleness is known.	TESTS FOR MODEL DEVELOPMENT	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	A simpler model is not better.	TESTS FOR MODEL DEVELOPMENT	1	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	Model quality is sufficient on important data slices.	TESTS FOR MODEL DEVELOPMENT	0	0
Utility	Reusability	The ability to reuse the same ML system without any change, for another business case.	Breck	The model is tested for considerations of inclusion.	TESTS FOR MODEL DEVELOPMENT	0	0
